username;location;tweet_text;created_at;retweets;likes;language;Foreigner
FloQuiRei;München ;Es msste jetzt landesweit Prozesse wg dieser hageln Die haben rcksichtslos Passanten Polizei amp Einsatzkrfte attackiert haben mutwillig schwere Krperverletzung amp Sachbeschdigung inkaufgenommen Keine Gnade;06.01.25 09:30;0;3;de;NO
FrankPu10;Deutschland;CScharun Was hat bitte das eine mit dem anderen zu tun Was juckt es denn diese Leute ob es ein Bllerverbot gibt oder nicht die werden sich trotzdem ihr eigenen Bller basteln oder illegale aus dem Ausland znden Httest du dir sparen knnen den Post;05.01.25 00:01;0;1;de;NO
gabonn;Bonn;Die Polizeigewerkschaft fordert mit einer ein bundesweites Knapp 15 Millionen Menschen haben unterzeichnet Fr den Eitorfer Feuerwerkshersteller Weco htte das Folgen GA;09.01.25 19:46;0;0;de;NO
Gatekeeper_one;55.20005,12.22796;Warum Weil es an den Personen liegt die das bedienen In Polen gibt es auch keine auf etc Warum;05.01.25 17:22;0;0;de;NO
gemusegurke;no_location;Natrlich kommt das System erwartungsgem mit Mehrheitlich Deutsche Alles Andere htte mich gewundert;07.01.25 12:01;0;1;de;NO
GesinnungsKanal;no_location;Moiraley1986 Karenztag ist okay wenn zum Ausgleich jeder von seinem Einkommen unabhngig von der Quelle auch in die gesetzliche Krankenkasse einzahlt;09.01.25 13:17;0;1;de;NO
GianlucaMonz;Köln;In der Silvesternacht sollen junge Mnner mit arabischen Wurzeln in Mailand junge Frauen sexuell belstigt haben Ein Video zeigt wie die Frauen versuchen die Mnner abzuwehren und in Trnen ausbrechen;08.01.25 12:32;0;0;de;NO
GoscheUff;no_location;Ich wrd ja so nen mal 1 Tag bei den Rettungskrften mitfahren lassendass die Idioten mal sehen was hier fr Arbeit geleistet wird;09.01.25 13:18;0;1;de;NO
Greider_Ger;no_location;bzberlin Vielleicht sollten besser die Talahons verboten werden und nicht das bei Lidl und Aldi verkaufte;04.01.25 19:06;0;2;de;NO
guardian_xcu;Wherever help is needed;Wohin man auch siehthrt Stress Wer Yoga Achtsamkeit und Meditation nichts abgewinnen kann sollte wenigstens ber die Ernhrung etwas ausgleichend einwirken;09.01.25 00:21;0;0;de;NO
gunnar_ror;Bayern ;dorisorchid Die sollten ein Gesetz zur pflicht vorschlagen Im ganze Osten wre ab nchstem Jahr;04.01.25 16:32;0;0;de;NO
HabakukProf;Ich seh euch alle;MdlBehrendt Was hat ein mit Auslndern zu tun;04.01.25 09:40;0;0;de;NO
Hajoax;no_location;Tagesspiegel Ich finde diese Liste interessant und aufschlussreichweil genau hier die namentlichenmigrantinischen Ursachen liegen und publiziert werden mssenInteressant auchKEINE asiatischen Migranten erkennbar;09.01.25 12:24;0;2;de;NO
Hakan61018221;no_location;AIM Congress 2025 is your opportunity to explore the future of business powered by the booming ecommerce economy;06.01.25 13:39;0;0;en;NO
hatte_2x_besuch;irgendwo im nirgendwo;ES WAREN DEUTSCHE;08.01.25 15:10;2;3;de;NO
HeikeOlga;Niedersachsen emsland;Jetzt noch;08.01.25 16:54;0;2;de;NO
HeinzK_Berlin;no_location;Liste der der aus der in geleakt;08.01.25 19:58;0;0;de;NO
HeinzK_Berlin;no_location;Offenbar auf in Laut Polizei ist am Donnerstag auf der Polizeistation in ein unbekannter Gegenstand explodiert 2 verletzt einer schwer Mehr Details werden nicht genannt;03.01.25 09:55;0;0;de;NO
HerrMayer77;Deutschland;VasiFranco Der selbst ist nicht gefhrlich es ist der Mensch der ihn benutzt Das Messer alleine ist ja auch nicht gefhrlich Sollte man deshalb alle Messer vernichten und verbieten Dann knnten Sie sich ab sofort ihre Brtchen mit dem Lffel schmieren;05.01.25 21:27;0;5;de;NO
Herzblut16;no_location;Du suchst spannende Flirts oder den Partner frs Leben Dann bist Du bei Hits genau richtig Hier kannst du mit interessanten Leuten aus deiner Nhe Flirten Quatschen oder Daten Melde dich Schnen amp GUTEN GELINGEN in 2025 gtgt;09.01.25 14:47;0;0;de;NO
HLlive;Lübeck, Germany;Silvester Polizei bittet um Fotos und Videos Im Behaimring wurden in der Silvesternacht Einsatzkrfte und Passanten mit Pyrotechnik beschossen und mit Bllern beworfen wir berichteten Mittlerweile;08.01.25 15:02;1;0;de;NO
Hooperman19;no_location;VasiFranco Ich bller seit Jahren nicht Aber fr 20252026 mchte ich alles rausholen was geht Vor oder Haus Das wei ich noch nicht;05.01.25 19:53;0;3;de;NO
Hotfogel;no_location;Der mit anzndende luft wie viele andere seinesgleichen in weier flauschiger Oberbekleidung herum wie ein sowas von cleanes Unschuldslamm Aber was hat er im Kopf;04.01.25 21:06;0;0;de;NO
IkbenHansie;'t Gooi, Nederland 🇳🇱 🇪🇺 ;an in;09.01.25 11:00;0;1;en;YES
ilm_ulm;Ulm;Bewilligung unseres ZIMProjekts mit einem innovativen Partner Wir entwickeln ein automatisiertes System zur schnellen Analyse von Hygieneproben mittels LaserSpeckleInterferometrie fr hchste Sicherheit und Hygieneberwachung;09.01.25 09:44;0;0;de;NO
imsimantaa;Jessore, Bangladesh.;About me;08.01.25 15:50;1;0;en;YES
info_bitte;everyplace;ISefati mit sollte es erst wieder geben wenn sich die Verhltnisse in normalisieren wie vor ca 30 Jahren Zwar gabs auch damals gengend rgernisse am Silvester aber keine Gewalt arabischer trkischer und osteuropischer Chaoten wie im Jahre 2024;04.01.25 22:21;0;0;de;NO
info_bitte;everyplace;Die ist um den Datenschutz bemht warum die der 406 nicht verffentlicht werden Doch ALLE und SzeneKenner wissen da die meisten Festgenommenen an ein haben;08.01.25 21:33;0;1;de;NO
info_bitte;everyplace;Attalah Younes schoss in Kinderzimmer festgenommen Kaum vorstellbar da man den Typen festgenommen htte wenn nicht das Rechtsbewusstsein der vielen Millionen Menschen in die Behrden zum Handeln gezwungen htte;04.01.25 19:45;0;1;de;NO
infos_unter;Rostock;Polizei in Berlin ermittelt nach Verffentlichung von Vornamenliste;09.01.25 07:52;0;0;de;NO
Inga_Ruppender;no_location;Hrte in der in Berlin ArtillerieKanonenschlge Von wem oder was wurde eingenommen Ich fordere fr die Zivilbevlkerung fr kommende Jahreswechselfeiern;05.01.25 11:45;0;0;de;NO
inhortas;no_location;Auf gilt nach Brot als Hauptnahrung Interessant denn die Insel ist auch fr ihre vielen Hundertjhrigen bekannt Ist das Geheimnis der in den Vielleicht auch das ErdofenSpanferkel;09.01.25 09:09;0;1;de;NO
IrisRoder42813;Ravensburg, Baden-Württemberg;So erhlt man die Arbeitskraft;09.01.25 09:46;2;9;de;NO
Ithiliya;Niedersachsen;Eine Petition fr ein in ganz Deutschland;08.01.25 23:00;0;2;de;NO
